time,polarization,ratio,assassination,executions,insurrection,lynching,mass suicide,rampage,riot,terrorism,war,total_deaths,Height(cm),EVI,HSUS
1815,0.6300591922691815,1.356598349836759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.93655317883565,42.41109218023338,19.764911081069755
1816,0.5708886392488502,1.5265362172339714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.93243177005724,43.05051168376885,19.894973683245308
1817,0.47220037710880913,1.358445024911877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.91602292630645,43.5412002820055,19.931600507995896
1818,0.356102089333953,1.277824983731005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.91005607403343,44.18084140566804,20.02403963712833
1819,0.25637849424280296,1.297731076685282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,172.9040892217604,44.46961584256135,20.06520121160994
1820,0.20297195098035203,1.3396108725218714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.91154778710165,44.75839027945466,20.10636278609155
1821,0.1981972316025277,1.2723659258941595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.95331575301282,45.23880471432512,20.17403520515454
1822,0.21016045320932147,1.377132313151611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.995083718924,45.96658240850714,20.27519500684664
1823,0.2389654508818773,1.5446203674206227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.08607821608763,46.417796774416985,20.337111782020248
1824,0.268784947190689,1.4143624932210057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.1308296081353,46.83476283045719,20.393796153658062
1825,0.3428469763210729,1.277259428529419,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,173.17558100018297,47.44193437187864,20.510653165957557
1826,0.3761179191403006,1.243999810762315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.26508378427835,48.00908963743442,20.550768259732003
1827,0.39377913252069296,1.2426430997677416,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,173.31058103286017,48.65121512065196,20.63498504045104
1828,0.42399742637043314,1.268480271630957,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,173.35607828144197,48.973622489380794,20.747274081409756
1829,0.4732764428708604,1.2192126893495165,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,173.44856449167384,49.375628380737794,20.72866997994914
1830,0.5137982528758287,1.1576749563664188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,173.4440893524691,50.203889157437686,20.83411536929913
1831,0.5426849070249935,1.1342696718700225,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,173.32848158967923,51.787655376185,21.030986628684147
1832,0.5506648339741901,1.1399469760090184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.21436553995764,56.25730389523652,21.118338698823443
1833,0.5090739958928048,1.2071709238338741,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,173.10024949023605,58.81873282948647,21.205690768962736
1834,0.4783554887984782,1.2108135287246469,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,172.9816583013097,61.45260837340131,21.244933795481224
1835,0.4571439724176238,1.150012304874164,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,12.0,172.88917209107782,66.96144635828306,21.332140521077857
1836,0.45231685157697654,1.208082176000701,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,172.69226596606802,69.99075619700857,21.41934724667449
1837,0.477531168227835,1.2094179746530418,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,172.57442063367577,73.30219125165966,21.532279956322135
1838,0.5018514969090453,1.1188675372791435,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,172.46254215355657,80.13744303866828,21.64521266596978
1839,0.5253285755010751,1.095605272992379,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,172.34842610383498,83.48670516029784,21.663526078345072
1840,0.5456360681200813,1.0734337858700715,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,172.2164094972943,87.3212583706436,21.77863895613263
1841,0.5575068520125083,1.1377082830093346,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,172.10005587797036,94.28897979205388,21.89375183392019
1842,0.5630211429808264,1.22734700677716,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,171.9926525370559,98.0190896400236,21.89375183392019
1843,0.5541263464086679,1.255825973995475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.88524919614147,107.15913233428284,21.998399904636152
1844,0.5570895572124334,1.165115691810579,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,6.0,171.77560828562466,111.63773820570712,22.103047975352116
1845,0.5788446903560684,1.0694985301745619,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,171.66372980550543,116.45723574342152,22.203211128751683
1846,0.5914523273227036,0.9404583981317938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.5540888949886,126.8968909648811,22.30337428215125
1847,0.593310392400809,0.946479902728086,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,171.44668555407418,132.37513930077935,22.31234411678404
1848,0.6089040435754539,1.0427965560443062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.3325695043526,143.68714377368852,22.408852893110982
1849,0.6361231679955516,1.0408878072389545,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,171.22292859383575,145.8381005347302,22.505361669437924
1850,0.6465513810870104,1.0199187605340043,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,171.10209983530703,146.80758957979705,22.542569872359156
1851,0.5914580155502602,0.9901053005611785,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,171.05958601286173,147.77707862486392,22.630212631583774
1852,0.5421472719756194,0.9500639922889049,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,171.01707219041643,149.74183623365727,22.717855390808396
1853,0.4884835099362805,0.9164625554439192,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,9.0,170.94099482393537,151.73271611051297,22.82555569692024
1854,0.5063060439238791,0.9052198152277796,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,170.90295614069484,153.7500655618294,22.933256003032085
1855,0.5858416710529234,0.9137124655900541,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,13.0,170.8649174574543,155.79423651158743,22.9820917693662
1856,0.6414705504158354,0.9361839625146013,1.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,17.0,170.78585666483673,157.86558556274397,23.065810225938968
1857,0.6683474858700464,0.9584690126693952,1.0,0.0,0.0,16.0,0.0,0.0,9.0,0.0,0.0,26.0,170.7478179815962,159.9644740594396,23.14952868251174
1858,0.6788893743352331,0.9633501891015432,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,8.0,170.70977929835567,162.09126815003566,23.22103819750098
1859,0.6856050786382857,0.988561521307619,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,170.63668535801114,164.2463388509878,23.292547712490222
1860,0.6644580222483836,0.9894788394148064,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,170.635939501477,166.43006211156953,23.364057227479464
1861,0.6054362195345375,0.9054603315607618,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,7.0,170.63519364494286,167.53644049551275,23.4460315495403
1862,0.5684253722926127,0.7795003121060385,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,6.0,170.72618814210648,168.64281887945597,23.528005871601138
1863,0.5971847887862188,0.7178035222715059,0.0,0.0,0.0,6.0,0.0,0.0,13.0,0.0,0.0,19.0,170.7724312472224,170.8849951671798,23.609980193661976
1864,0.6260224952335927,0.7006566343465038,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,9.0,170.81867435233838,173.1569821194705,23.706488969988918
1865,0.6429211316431774,0.7508717213549965,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,170.90817713643372,175.4591760814892,23.80299774631586
1866,0.651226192520822,0.8328069973016614,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,12.0,170.95442024154966,177.7919786679704,23.84020594923709
1867,0.6433890964245681,0.906957499121883,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,14.0,171.00066334666562,180.1557968332833,23.92990429556506
1868,0.6438784006662315,0.9645378550248734,11.0,0.0,0.0,22.0,0.0,0.0,41.0,0.0,0.0,74.0,171.090166130761,183.99187720772815,24.01960264189303
1869,0.6556727224628157,1.0018738206680229,0.0,0.0,0.0,14.0,0.0,0.0,17.0,0.0,0.0,31.0,171.1197872902592,202.1156379192147,24.085381429200204
1870,0.6604835017095718,1.0247172788982286,4.0,0.0,0.0,16.0,0.0,0.0,23.0,0.0,0.0,43.0,171.14940844975743,223.62930340564688,24.15116021650738
1871,0.6514476661663187,1.0302622058306994,1.0,0.0,0.0,14.0,0.0,0.0,19.0,0.0,0.0,34.0,171.05138159098632,259.1966464415268,24.216939003814556
1872,0.6516163620878068,0.9707763639408273,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,170.83180142733903,301.71317194019235,24.327400856236963
1873,0.656538748414049,0.9340090609454262,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,170.71127101142395,350.2387118495274,24.437862708659367
1874,0.664539272987712,0.950638248339746,0.0,0.0,0.0,5.0,0.0,0.0,25.0,0.0,0.0,30.0,170.4464919418085,388.1592597376734,24.48902398767606
1875,0.677618722991906,0.9352377451581022,0.0,0.0,0.0,5.0,0.0,0.0,14.0,0.0,0.0,19.0,170.37116043186154,451.8795046676668,24.57274244424883
1876,0.6897437327856069,0.8950746249962563,0.0,0.0,0.0,6.0,0.0,0.0,13.0,0.0,0.0,19.0,170.16977916764696,498.6596442011169,24.6564609008216
1877,0.6984432973000558,0.8750154385277037,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,14.0,169.94879253167818,516.5358033726399,24.698320129107984
1878,0.7120562548502388,0.841675027160373,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,169.84011057956238,525.79429896804,24.79250339275235
1879,0.7323439476939702,0.7820157897746304,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,169.7401658039892,535.0527945634402,24.886686656396716
1880,0.7472491963341436,0.7533943461497621,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,9.0,169.50767166720817,554.2335905873643,24.99133472711268
1881,0.7536181100214512,0.7315073598483923,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,9.0,169.43436462499673,574.1019877972833,25.09598279782864
1882,0.7448736565168732,0.7501893261776985,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,8.0,169.4045303636316,594.3554567538248,25.116912411971832
1883,0.7203711228518906,0.8078259890051545,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,9.0,169.37469610226648,616.0010670754713,25.2137118773841
1884,0.7035260888381755,0.8526325038187894,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,8.0,169.313535866468,637.7326735746545,25.310511342796364
1885,0.7183684277982395,0.8584030313426619,0.0,0.0,0.0,8.0,0.0,0.0,8.0,1.0,0.0,17.0,169.28370160510286,660.594380781712,25.32620855340376
1886,0.7304303200702953,0.8360741661969762,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,1.0,18.0,169.25386734373774,684.275644016049,25.42155457338941
1887,0.7390658489900569,0.8233883279829444,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,11.0,169.19569053407577,708.8058430643886,25.516900593375063
1888,0.7488346625742196,0.8364271720810429,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,13.0,169.1651104161765,733.8114647898943,25.62247886916406
1889,0.7667423849419263,0.8102620092753696,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,12.0,169.13453029827724,747.3829968485735,25.728057144953056
1890,0.7776293636750776,0.7606639057024533,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,169.13124852952708,760.9545289072527,25.7683466521787
1891,0.7668790152497664,0.7492048872333997,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,8.0,169.18674025566622,824.6186982622256,26.393618874706576
1892,0.7589877056652744,0.7552461768995699,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,13.0,169.24223198180533,860.786466784997,26.43547810299296
1893,0.7738022557019452,0.7866620432768889,1.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,12.0,169.35321543408358,898.5405533025872,27.003193886627056
1894,0.7939218149439264,0.7825443663668817,0.0,0.0,0.0,4.0,0.0,0.0,17.0,0.0,0.0,21.0,169.46956905340755,976.5061246908429,27.60753649501174
1895,0.828912160659263,0.7630914426446445,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,169.58234256136774,1018.6627371334798,27.649395723298124
1896,0.8542084354119779,0.7539163971050721,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,7.0,169.63783428750685,1061.2366999507144,28.256354533450704
1897,0.8501427030413308,0.7183203527172627,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,11.0,169.693326013646,1154.843560716655,28.821454115316904
1898,0.8416539510491768,0.6871330286470461,0.0,0.0,0.0,21.0,0.0,0.0,14.0,0.0,0.0,35.0,169.80967963296996,1201.521066907649,29.461302319123075
1899,0.832697737303153,0.6798243152727068,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,10.0,169.91171280683866,1250.0852265453311,29.47027215375587
1900,0.8305333418533295,0.6710128409341536,1.0,0.0,0.0,6.0,0.0,1.0,14.0,0.0,0.0,22.0,170.01016586934358,1357.657139432568,30.05630134976526
1901,0.845472235957844,0.6512746536541936,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,9.0,170.14740347162314,1414.8661299480464,30.66326015991784
1902,0.8602173305811254,0.6451801748678742,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,5.0,170.38160242333933,1474.485794337466,31.272835171838324
1903,0.8689115970490606,0.6390856960815547,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,14.0,170.61878480119205,1601.3677493064686,31.312078198356808
1904,0.8777935712010644,0.6277108894035066,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,9.0,170.72618814210648,1667.1939072295925,31.879503292905586
1905,0.8901107834114359,0.6060846178351755,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,170.94099482393537,1811.854852263646,32.51403603915158
1906,0.8984138360043009,0.5966877006395963,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,13.0,171.16117167280996,1888.8264157699236,33.09109540052817
1907,0.8916463447310645,0.6070634633763816,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,171.38403360520743,1965.1707014505755,33.13295462881456
1908,0.8822561808098601,0.6109396917195582,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,14.0,171.62121598306015,2137.097682889287,33.724216228359744
1909,0.8736681334802452,0.6087470777072563,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,8.0,171.836022664889,2227.886274377239,34.31431507156364
1910,0.8609636627594934,0.6029958163495915,0.0,0.0,0.0,5.0,0.0,0.0,19.0,1.0,0.0,25.0,172.08066360808303,2325.6013458842813,34.34687224911972
1911,0.8415689336601728,0.5798515573308503,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,10.0,172.18806694899746,2520.7242735281625,34.97476067341549
1912,0.8190223220963239,0.572076727032127,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,10.0,172.3014371421849,2582.6489972704535,35.52823269186881
1913,0.8022980494341609,0.5939749001396821,1.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,24.0,172.39989020468985,2470.052159026244,36.14681906543427
1914,0.7947030090334165,0.6058399064498741,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,172.5005808367971,2198.654253325496,36.188678293720656
1915,0.8103023495832096,0.5930333439524267,0.0,0.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,21.0,172.599033899302,2015.110324275825,36.79563710387324
1916,0.819164967695242,0.6071193974073078,0.0,0.0,0.0,6.0,0.0,0.0,13.0,1.0,0.0,20.0,172.7131499490236,1790.149215720998,37.36073668573944
1917,0.8194753911426064,0.6414274675096595,0.0,0.0,0.0,11.0,0.0,0.0,15.0,0.0,0.0,26.0,172.8250284291428,1588.7275666922196,38.00058488954561
1918,0.8138966437961233,0.691011867244999,0.0,0.0,0.0,29.0,0.0,0.0,8.0,0.0,0.0,37.0,172.9234814916477,1450.342240517815,38.0095547241784
1919,0.8057063229222209,0.7352586688558338,0.0,0.0,0.0,14.0,0.0,1.0,52.0,0.0,0.0,67.0,173.02640969335738,1296.3248195257945,38.637443148474176
1920,0.8036676193224712,0.714662515690391,0.0,0.0,0.0,6.0,0.0,0.0,13.0,0.0,0.0,19.0,173.18080199592188,1199.5390212505606,39.21039133564408
1921,0.8086788521673639,0.6861541831058399,1.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,10.0,173.4739236138342,1070.3867165725385,39.22347234448357
1922,0.7998236216743422,0.6749953439360896,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,12.0,173.96846489164247,1055.954724915518,40.47227265502739
1923,0.7736822727360714,0.6809663017374472,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,10.0,174.50618905706742,1054.0194385785803,40.740641403397234
1924,0.7492426733606562,0.6863608282756501,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,175.02530520482054,1054.9483419295407,42.26873120231807
1925,0.7316534993867364,0.669494231994511,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,9.0,175.54143792643714,1055.8772452805008,43.4768350409168
1926,0.7110165658198291,0.6760021564927589,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,175.63317828013487,1061.7040231245055,44.68842714853938
1927,0.6899470477113914,0.6856451834244126,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,8.0,175.72491863383263,1067.445460685635,45.90001925616197
1928,0.6675400434984868,0.6806073917056716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,175.75475289519775,1072.7455553663808,47.1278899525626
1929,0.6359798223659386,0.6938218065119548,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,15.0,175.77787444775572,1076.293563824452,48.2266946950802
1930,0.6054725650261936,0.7378819749062663,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,18.0,175.8009960003137,1075.9551532891123,46.37209833072509
1931,0.5736446653533261,0.7794925434906322,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,11.0,175.91734961963766,1080.532686994398,43.03604913989143
1932,0.5392319023406087,0.8305077978859838,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,176.13215630146655,1087.6065255703556,40.62173715033255
1933,0.5053421234616349,0.8949835824735954,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.431990628186,1095.415411331662,37.25608861502347
1934,0.478792371069437,0.9156445202416255,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,21.0,176.67454317308446,1099.0383982786263,37.11807465889084
1935,0.45953837491686356,0.8643017410207402,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,176.86011227877552,1101.1593811222467,37.35608566037428
1936,0.4484120029000248,0.8624054220000383,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,176.83475315661516,1103.280363965867,37.972927899427816
1937,0.4440996531584403,0.9095815509593944,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,6.0,176.8093940344548,1109.36873229582,38.583956356774905
1938,0.4387127907283673,0.9332800540756899,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,176.74972551172456,1112.4255042198072,39.22347234448357
1939,0.42948920924800227,0.8966581795606964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.72585810263246,1117.3338681183732,39.75136372342853
1940,0.4297235473920014,0.847495895312079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.70199069354038,1106.320359904709,38.53512059044079
1941,0.4322539862143238,0.7957196273515167,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,176.7721012077484,1066.8581800733402,37.32410986098885
1942,0.4274638253579719,0.7349333192426138,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,8.0,176.8175984563302,961.9978105191022,36.10495983714789
1943,0.4232207212755886,0.6954205875625916,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,176.863095704912,882.161593346327,34.87534500623533
1944,0.4301369862852994,0.6846532866093238,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,176.95707362821216,802.2376064970698,34.2678048179121
1945,0.44008041544941967,0.7229039601048842,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,177.00033330719157,733.0042391046327,32.42832428599374
1946,0.4386123943408065,0.7687469946605022,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,177.043592986171,700.6614461271838,31.83531855193662
1947,0.4166052973258651,0.7881498884995224,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,177.07465791081745,640.5465465216841,31.212081153006
1948,0.42315081383873615,0.7937992256230549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.1057228354639,585.2671704015183,29.984210456605375
1949,0.43587516466615406,0.8082488502789555,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,177.1677035134499,534.4642123737816,29.799913576511152
1950,0.4411954725386304,0.7903686050595895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.310338404831,490.10901690080584,30.38187312532603
1951,0.4321824912761695,0.7838429681182153,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,177.35508979687867,466.27896987443887,31.605092796361504
1952,0.4302834571885597,0.7984529369961039,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,177.39984118892636,426.27346704979846,32.81901041666667
1953,0.4324624461744485,0.8213653805311182,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,177.48853031134811,388.9969765518255,34.110666603789404
1954,0.4346414351603373,0.8270997839933509,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,177.52860314877262,357.8677072669042,33.81540954712651
1955,0.44856519486301444,0.8328341874555838,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,177.56867598619715,324.6248042120675,33.520152490463616
1956,0.4557284253463577,0.8490993375319595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.6672104148694,310.4719996271026,33.2044641438038
1957,0.4528798742149432,0.8582352292498838,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,177.7112344129872,283.5220923650525,32.88877579714398
1958,0.45596982117686813,0.8691982993113928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.755258411105,262.71924934152395,32.923658487382625
1959,0.4688591267781277,0.8712647510094949,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,177.83369539643948,233.9226885673213,32.277456650711564
1960,0.4688942583732057,0.8860344426201389,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,177.89168440570486,222.6714236389099,31.974994657433896
1961,0.4632225408299915,0.8771521185090796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,177.77005725041172,203.45480707077857,31.672532664156233
1962,0.463696687303199,0.8660659935795332,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,177.64922849188298,185.47324439378565,31.916944047095072
1963,0.4725455343195999,0.8547113853015416,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,177.532874872559,178.1837834335029,32.299258332110725
1964,0.4775440212504246,0.8353302435856595,1.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,10.0,177.41204611403026,171.63899239027808,33.75665713028169
1965,0.4791032535533224,0.813012565246159,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,6.0,177.30613448618408,165.15271971339746,34.34089235936452
1966,0.4781971154607574,0.7974908716641753,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,9.0,177.31433890805948,158.9115646094701,35.58171948356808
1967,0.4725104562787825,0.7900586373048744,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,18.0,177.3225433299349,153.0746530528747,36.156121116164584
1968,0.47426581193530154,0.779536047736908,4.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,24.0,177.3538693043683,150.22283164770963,36.77470748973005
